package,description
lue,Light Use Efficiency Model to Estimate Biomass and YIELD with and Without Vapour Pressure Deficit
lulcc,Land Use Change Modelling in R
lumberjack,Track Changes in Data
Luminescence,Comprehensive Luminescence Dating Data Analysis
lunar,"Lunar Phase & Distance, Seasons and Other Environmental Factors"
lutz,Look Up Time Zones of Point Coordinates
luzlogr,Lightweight Logging for R Scripts
lvec,Out of Memory Vectors
LVGP,Latent Variable Gaussian Process Modeling with Qualitative and Quantitative Input Variables
lvm4net,Latent Variable Models for Networks
lvmcomp,Stochastic EM Algorithms for Latent Variable Models with a High-Dimensional Latent Space
lvmisc,Veras Miscellaneous
lvnet,Latent Variable Network Modeling
lvplot,Letter Value 'Boxplots'
LW1949,An Automated Approach to Evaluating Dose-Effect Experiments Following Litchfield and Wilcoxon (1949)
LWFBrook90R,Simulate Evapotranspiration and Soil Moisture with the SVAT Model LWF-Brook90
lwgeom,Bindings to Selected 'liblwgeom' Functions for Simple Features
lwqs,Lagged Weighted Quantile Sum Regression
lxb,Fast LXB File Reader
lymphclon,Accurate Estimation of Clonal Coincidences and Abundances from Biological Replicates
LZeroSpikeInference,Exact Spike Train Inference via L0 Optimization
,
m2b,Movement to Behaviour Inference using Random Forest
m2r,Interface to 'Macaulay2'
M2SMF,Multi-Modal Similarity Matrix Factorization for Integrative Multi-Omics Data Analysis
M2SMJF,Multi-Modal Similarity Matrix Joint Factorization
M3,Reading M3 files
mable,Maximum Approximate Bernstein/Beta Likelihood Estimation
maboost,Binary and Multiclass Boosting Algorithms
MABOUST,Multi-Armed Bayesian Ordinal Utility-Based Sequential Trial
MAc,Meta-Analysis with Correlations
macc,Mediation Analysis of Causality under Confounding
machina,Machina Time Series Generation and Backtesting
MachineShop,Machine Learning Models and Tools
machQA,QA Machina Indicators
macleish,Retrieve Data from MacLeish Field Station
MAclinical,Class prediction based on microarray data and clinical parameters
mactivate,Multiplicative Activation
maczic,Mediation Analysis for Count and Zero-Inflated Count Data
MAd,Meta-Analysis with Mean Differences
mada,Meta-Analysis of Diagnostic Accuracy
maddison,Maddison Project Database
maditr,"Fast Data Aggregation, Modification, and Filtering with Pipes and 'data.table'"
madness,Automatic Differentiation of Multivariate Operations
MADPop,MHC Allele-Based Differencing Between Populations
madr,Model Averaged Double Robust Estimation
madrat,May All Data be Reproducible and Transparent (MADRaT) *
mads,Multi-Analysis Distance Sampling
madsim,A Flexible Microarray Data Simulation Model
Maeswrap,Wrapper Functions for MAESTRA/MAESPA
MAFDash,Create an HTML Dashboard to Visualize Data from MAF File
magclass,Data Class and Tools for Handling Spatial-Temporal Data
magic,Create and Investigate Magic Squares
magicaxis,Pretty Scientific Plotting with Minor-Tick and Log Minor-Tick Support
magicfor,Magic Functions to Obtain Results from for Loops
magick,Advanced Graphics and Image-Processing in R
magickGUI,GUI Tools for Interactive Image Processing with 'magick'
magicLamp,'WeMo Switch' Smart Plug Utilities
MAGNAMWAR,A Pipeline for Meta-Genome Wide Association
magree,Implements the O'Connell-Dobson-Schouten Estimators of Agreement for Multiple Observers
magrittr,A Forward-Pipe Operator for R
maGUI,A Graphical User Interface for Microarray Data Analysis and Annotation
maic,Matching-Adjusted Indirect Comparison
mail,Sending Email Notifications from R
mailmerge,Mail Merge Using R Markdown Documents and 'gmailr'
mailR,A Utility to Send Emails from R
mailtoR,Creates a Friendly User Interface for Emails Sending in 'shiny'
MAINT.Data,Model and Analyse Interval Data
majesticR,R Interface to Access the 'Majestic' API
MajKMeans,k-Means Algorithm with a Majorization-Minimization Method
makedummies,Create Dummy Variables from Categorical Data
MakefileR,Create 'Makefiles' Using R
makeFlow,Visualizing Sequential Classifications
makeProject,Creates an empty package framework for the LCFD format
maketools,Exploring and Testing the Toolchain and System Libraries
malan,MAle Lineage ANalysis
malani,Machine Learning Assisted Network Inference
malariaAtlas,"An R Interface to Open-Access Malaria Data, Hosted by the 'Malaria Atlas Project'"
MALDIquant,Quantitative Analysis of Mass Spectrometry Data
MALDIquantForeign,Import/Export Routines for 'MALDIquant'
MALDIrppa,MALDI Mass Spectrometry Data Robust Pre-Processing and Analysis
mallet,A wrapper around the Java machine learning tool MALLET
MAMS,Designing Multi-Arm Multi-Stage Studies
MAMSE,Calculation of Minimum Averaged Mean Squared Error (MAMSE) Weights
managelocalrepo,Manage a CRAN-Style Local Repository
MANCIE,Matrix Analysis and Normalization by Concordant Information Enhancement
mand,Multivariate Analysis for Neuroimaging Data
mandelbrot,Generates Views on the Mandelbrot Set
manet,Multiple Allocation Model for Actor-Event Networks
mangoTraining,Mango Solutions Training Datasets
Mangrove,Risk Prediction on Trees
manhattanly,Interactive Q-Q and Manhattan Plots Using 'plotly.js'
manhplot,The Manhattan++ Plot
manifestoR,Access and Process Data and Documents of the Manifesto Project
ManifoldOptim,An R Interface to the 'ROPTLIB' Library for Riemannian Manifold Optimization
manipulate,Interactive Plots for RStudio
manipulateWidget,Add Even More Interactivity to Interactive Charts
ManlyMix,Manly Mixture Modeling and Model-Based Clustering
MANOVA.RM,Resampling-Based Analysis of Multivariate Data and Repeated Measures Designs
manymodelr,Build and Tune Several Models
ManyTests,Multiple Testing Procedures of Cox (2011) and Wong and Cox (2007)
MaOEA,Many Objective Evolutionary Algorithm
maotai,"Tools for Matrix Algebra, Optimization and Inference"
MAP,Multimodal Automated Phenotyping
Map2NCBI,Mapping Markers to the Nearest Genomic Feature
MAPA,Multiple Aggregation Prediction Algorithm
mapaccuracy,Unbiased Thematic Map Accuracy and Area
mapboxapi,R Interface to 'Mapbox' Web Services
mapboxer,An R Interface to 'Mapbox GL JS'
mapcan,Tools for Plotting Canadian Choropleth Maps and Choropleth Alternatives
mapchina,China Administrative Divisions Geospatial Shapefile Data
mapdata,Extra Map Databases
mapdeck,Interactive Maps Using 'Mapbox GL JS' and 'Deck.gl'
mapedit,Interactive Editing of Spatial Data in R
mapfit,A Tool for PH/MAP Parameter Estimation
MapGAM,Mapping Smoothed Effect Estimates from Individual-Level Data
mapi,Mapping Averaged Pairwise Information
Mapinguari,Process-Based Biogeographical Analysis
MAPITR,MArginal ePIstasis Test for Regions
MAPLES,Smoothed age profile estimation
mapmisc,Utilities for Producing Maps
mapping,"Automatic Download, Linking, Manipulating Coordinates for Maps"
mapplots,Data Visualisation on Maps
mappoly,Genetic Linkage Maps in Autopolyploids
mapproj,Map Projections
mapr,Visualize Species Occurrence Data
mapReasy,Producing Administrative Boundary Map with Additional Features Embedded
maps,Draw Geographical Maps
mapsapi,'sf'-Compatible Interface to 'Google Maps' APIs
mapsf,Thematic Cartography
mapsFinland,Maps of Finland
mapSpain,Administrative Boundaries of Spain
mapsRinteractive,Local Adaptation and Evaluation of Digital Soil Maps
mapStats,Geographic Display of Survey Data Statistics
maptiles,Download and Display Map Tiles
maptools,Tools for Handling Spatial Objects
maptpx,MAP Estimation of Topic Models
maptree,"Mapping, pruning, and graphing tree models"
mapview,Interactive Viewing of Spatial Data in R
mAr,Multivariate AutoRegressive analysis
mar1s,Multiplicative AR(1) with Seasonal Processes
march,Markov Chains
marcher,Migration and Range Change Estimation in R
marelac,Tools for Aquatic Sciences
MareyMap,Estimation of Meiotic Recombination Rates Using Marey Maps
marg,Approximate Marginal Inference for Regression-Scale Models
MargCond,Joint Marginal-Conditional Model
marginalizedRisk,Estimating Marginalized Risk
MarginalMediation,Marginal Mediation
margins,Marginal Effects for Model Objects
marima,Multivariate ARIMA and ARIMA-X Analysis
markdown,Render Markdown with the C Library 'Sundown'
markdownInput,Shiny Module for a Markdown Input with Result Preview
marked,Mark-Recapture Analysis for Survival and Abundance Estimation
markerpen,Marker Gene Detection via Penalized Principal Component Analysis
MarketMatching,Market Matching and Causal Impact Inference
marketr,Tidy Calculation of Marketing Metrics Plus Quick Analysis
markmyassignment,Automatic Marking of R Assignments
markophylo,Markov Chain Models for Phylogenetic Trees
markovchain,Easy Handling Discrete Time Markov Chains
Markovchart,Markov Chain-Based Cost-Optimal Control Charts
MarkowitzR,Statistical Significance of the Markowitz Portfolio
marl,Multivariate Analysis Based on Relative Likelihoods
marmap,"Import, Plot and Analyze Bathymetric and Topographic Data"
marqLevAlg,A Parallelized General-Purpose Optimization Based on Marquardt-Levenberg Algorithm
MARSANNhybrid,MARS Based ANN Hybrid Model
MARSS,Multivariate Autoregressive State-Space Modeling
MARSSVRhybrid,MARS SVR Hybrid
MARVEL,Revealing Splicing Dynamics at Single-Cell Resolution
MARX,"Simulation, Estimation, Model Selection and Forecasting for MARX Models"
maSAE,Mandallaz' Model-Assisted Small Area Estimators
mase,Model-Assisted Survey Estimators
mashr,Multivariate Adaptive Shrinkage
MaskJointDensity,"Masking, Unmasking and Restoring Confidential Data"
mason,Build Data Structures for Common Statistical Analysis
MASS,Support Functions and Datasets for Venables and Ripley's MASS
MASSExtra,Some 'MASS' Enhancements
Massign,Simple Matrix Construction
MASSTIMATE,Body Mass Estimation Equations for Vertebrates
MasterBayes,ML and MCMC Methods for Pedigree Reconstruction and Analysis
mastif,Mast Inference and Forecasting
MAT,Multidimensional Adaptive Testing
MATA,Model-Averaged Tail Area (MATA) Confidence Interval and Distribution
matahari,Spy on Your R Session
match2C,Match One Sample using Two Criteria
matchbook,Wrapper for the 'Matchbook' API
Matching,Multivariate and Propensity Score Matching with Balance Optimization
matchingMarkets,Analysis of Stable Matchings
matchingR,Matching Algorithms in R and C++
MatchIt,Nonparametric Preprocessing for Parametric Causal Inference
MatchLinReg,Combining Matching and Linear Regression for Causal Inference
matchmaker,Flexible Dictionary-Based Cleaning
matchMulti,Optimal Multilevel Matching using a Network Algorithm
MatchThem,Matching and Weighting Multiply Imputed Datasets
matconv,A Code Converter from the Matlab/Octave Language to R
mathjaxr,Using 'Mathjax' in Rd Files
mathpix,Support for the 'Mathpix' API (Image to 'LaTeX')
matie,Measuring Association and Testing Independence Efficiently
matlab,MATLAB emulation package
matlabr,An Interface for MATLAB using System Calls
matlib,Matrix Functions for Teaching and Learning Linear Algebra and Multivariate Statistics
matman,Material Management
MatManlyMix,Matrix Clustering with Gaussian and Manly Mixture Models
matpow,matrix powers
matR,Metagenomics Analysis Tools
matricks,Useful Tricks for Matrix Manipulation
Matrix,Sparse and Dense Matrix Classes and Methods
Matrix.utils,Data.frame-Like Operations on Sparse and Dense Matrix Objects
matrixcalc,Collection of functions for matrix calculations
MatrixCorrelation,Matrix Correlation Coefficients
matrixdist,Statistics for Matrix Distributions
MatrixEQTL,Matrix eQTL: Ultra Fast eQTL Analysis via Large Matrix Operations
matrixLaplacian,Normalized Laplacian Matrix and Laplacian Map
MatrixLDA,Penalized Matrix-Normal Linear Discriminant Analysis
MatrixModels,Modelling with Sparse and Dense Matrices
matrixNormal,The Matrix Normal Distribution
matrixProfile,Matrix Profile
matrixprofiler,Matrix Profile for R
matrixsampling,Simulations of Matrix Variate Distributions
matrixStats,Functions that Apply to Rows and Columns of Matrices (and to Vectors)
matrixStrucTest,Tests of Matrix Structure for Construct Validation
matrixTests,Fast Statistical Hypothesis Tests on Rows and Columns of Matrices
matsbyname,An Implementation of Matrix Mathematics
matsindf,Matrices in Data Frames
MatSkew,Matrix Skew-T Parameter Estimation
MATTOOLS,Modern Calibration Functions for the Modern Analog Technique (MAT)
matuR,Athlete Maturation and Biobanding
mau,Decision Models with Multi Attribute Utility Theory
mauricer,Install 'BEAST2' Packages
MAVE,Methods for Dimension Reduction
MAVIS,Meta Analysis via Shiny
MAVTgsa,"Three methods to identify differentially expressed gene sets, ordinary least square test, Multivariate Analysis Of Variance test with n contrasts and Random forest"
MaXact,Exact max-type Cochran-Armitage trend test(CATT)
maxadjAUC,Maximizing the Adjusted AUC
maxcombo,The Group Sequential Max-Combo Test for Comparing Survival Curves
MaxentVariableSelection,Selecting the Best Set of Relevant Environmental Variables along with the Optimal Regularization Multiplier for Maxent Niche Modeling
maximin,Space-Filling Design under Maximin Distance
maxLik,Maximum Likelihood Estimation and Related Tools
maxlike,Model Species Distributions by Estimating the Probability of Occurrence Using Presence-Only Data
maxmatching,Maximum Matching for General Weighted Graph
MaxMC,Maximized Monte Carlo
maxnet,Fitting 'Maxent' Species Distribution Models with 'glmnet'
maxnodf,Approximate Maximisation of Nestedness in Bipartite Graphs
MaxPro,Maximum Projection Designs
